"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000198707","CEP290","Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","11.96 - ovary","0.96 - choroid plexus","Low tissue specificity","","Detected in all","10.20 - white matter","5.69 - choroid plexus","Low tissue specificity","","Detected in all","10.20 - cortical white matter","5.69 - choroid plexus","Low tissue specificity","","Detected in all","10.20 - parieto-temporal junction (white matter)","5.34 - dentate gyrus",NA
"ENSG00000110799","VWF","Cancer-related genes;Candidate cardiovascular disease genes;Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014)","Low tissue specificity","","Detected in many","147.10 - adipose tissue","0.85 - bone marrow","Low tissue specificity","","Detected in all","104.40 - thalamus","48.57 - hippocampal formation","Low tissue specificity","","Detected in all","104.40 - dorsal thalamus","18.53 - cerebellum","Low tissue specificity","","Detected in all","104.40 - posterior thalamic nucleus","16.85 - cerebellar cortex",NA
"ENSG00000198855","FICD","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","12.35 - pancreas","1.62 - vagina","Low tissue specificity","","Detected in all","13.97 - white matter","7.99 - choroid plexus","Low tissue specificity","","Detected in all","13.97 - spinal cord white matter","7.96 - retrosplenial cortex","Low tissue specificity","","Detected in all","13.97 - lateral funiculus (white matter)","7.19 - precentral gyrus",NA
"ENSG00000075856","SART3","Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","25.66 - lymphoid tissue","8.20 - choroid plexus","Low tissue specificity","","Detected in all","33.70 - cerebellum","22.61 - choroid plexus","Low tissue specificity","","Detected in all","33.70 - cerebellum","21.56 - mammillary body","Low tissue specificity","","Detected in all","33.70 - cerebellar cortex","20.57 - nuclei of the trapezoid body",NA
"ENSG00000136003","ISCU","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","490.86 - heart muscle","57.12 - retina","Low tissue specificity","","Detected in all","240.83 - medulla oblongata","121.06 - amygdala","Low tissue specificity","","Detected in all","240.83 - medulla oblongata","86.14 - cerebellum","Low tissue specificity","","Detected in all","240.83 - medial vestibular nucleus","66.32 - temporal white matter",NA
"ENSG00000183160","TMEM119","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters","Low tissue specificity","","Detected in many","58.79 - cervix","0.92 - retina","Low tissue specificity","","Detected in all","52.55 - white matter","17.01 - choroid plexus","Low tissue specificity","","Detected in all","52.55 - spinal cord white matter","12.40 - cerebellum","Low tissue specificity","","Detected in all","52.55 - lateral funiculus (white matter)","9.29 - postcentral gyrus",NA
"ENSG00000134531","EMP1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins","Tissue enhanced","esophagus;vagina","Detected in all","2191.84 - esophagus","5.42 - retina","Low tissue specificity","","Detected in all","82.38 - hypothalamus","12.67 - choroid plexus","Low tissue specificity","","Detected in all","82.38 - supraoptic hypothalamus","6.31 - cerebellum","Tissue enhanced","supraoptic nucleus","Detected in all","82.38 - supraoptic nucleus","5.37 - flocculonodular lobe",NA
"ENSG00000063046","EIF4B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","526.98 - ovary","77.90 - testis","Low tissue specificity","","Detected in all","226.03 - spinal cord","134.57 - hippocampal formation","Low tissue specificity","","Detected in all","226.03 - spinal cord","117.39 - insular cortex","Low tissue specificity","","Detected in all","226.03 - cervical spinal cord, ventral horn","92.96 - precentral gyrus",NA
"ENSG00000139155","SLCO1C1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Transporters","Group enriched","brain;choroid plexus;pituitary gland","Detected in some","20.22 - brain","0.02 - liver","Low tissue specificity","","Detected in all","42.26 - choroid plexus","6.96 - pons","Low tissue specificity","","Detected in all","42.26 - choroid plexus","4.29 - cerebellum","Low tissue specificity","","Detected in all","42.26 - choroid plexus","2.72 - flocculonodular lobe",NA
"ENSG00000139116","KIF21A","Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","retina","Detected in many","75.29 - retina","0.96 - bone marrow","Low tissue specificity","","Detected in all","168.16 - pons","33.84 - choroid plexus","Low tissue specificity","","Detected in all","168.16 - pons","33.84 - choroid plexus","Low tissue specificity","","Detected in all","168.16 - locus coeruleus","33.84 - choroid plexus",NA
