"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000110442","COMMD9","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","62.04 - skeletal muscle","12.86 - seminal vesicle","Low tissue specificity","","Detected in all","43.20 - white matter","24.29 - choroid plexus","Low tissue specificity","","Detected in all","43.20 - spinal cord white matter","21.17 - cerebellum","Low tissue specificity","","Detected in all","43.20 - dorsal funiculus (white matter)","19.57 - flocculonodular lobe",NA
"ENSG00000124935","SCGB1D2","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","breast;cervix","Detected in many","3857.02 - cervix","0.00 - bone marrow","Tissue enhanced","choroid plexus","Detected in all","21.96 - choroid plexus","1.27 - cerebral cortex","Tissue enhanced","choroid plexus","Detected in many","21.96 - choroid plexus","0.53 - claustrum","Tissue enhanced","choroid plexus;periaquaductal grey, lateral","Detected in many","21.96 - choroid plexus","0.00 - precentral gyrus",NA
"ENSG00000285283","ENSG00000285283","Predicted intracellular proteins","Tissue enhanced","intestine;lymphoid tissue;retina","Detected in some","8.54 - intestine","0.00 - choroid plexus","Low tissue specificity","","Detected in many","5.82 - cerebellum","0.25 - choroid plexus","Low tissue specificity","","Detected in many","5.82 - cerebellum","0.25 - choroid plexus","Tissue enhanced","flocculonodular lobe;vermis","Detected in many","5.82 - flocculonodular lobe","0.25 - choroid plexus",NA
"ENSG00000186660","ZFP91","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in all","83.95 - testis","8.86 - choroid plexus","Low tissue specificity","","Detected in all","60.51 - white matter","26.40 - choroid plexus","Low tissue specificity","","Detected in all","60.51 - cortical white matter","26.40 - choroid plexus","Low tissue specificity","","Detected in all","60.51 - temporal white matter","26.40 - choroid plexus",NA
"ENSG00000225997","OR4A8","Predicted membrane proteins","Not detected","","Not detected","0.02 - ovary","0.00 - lymphoid tissue","Not detected","","Not detected","0.02 - white matter","0.00 - choroid plexus","Not detected","","Not detected","0.02 - cortical white matter","0.00 - spinal cord white matter","Not detected","","Not detected","0.02 - corpus callosum, genu (white matter)","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000149124","GLYAT","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","kidney;liver","Detected in some","676.15 - liver","0.00 - epididymis","Not detected","","Not detected","0.99 - cerebral cortex","0.19 - choroid plexus","Not detected","","Not detected","0.99 - parietal cortex","0.19 - choroid plexus","Not detected","","Not detected","0.99 - postcentral gyrus","0.05 - median raphe nucleus",NA
"ENSG00000150244","TRIM48","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.25 - skin 1","0.00 - choroid plexus","Not detected","","Not detected","0.05 - white matter","0.00 - amygdala","Not detected","","Not detected","0.05 - cortical white matter","0.00 - retrosplenial cortex","Not detected","","Not detected","0.05 - angular gyrus (white matter)","0.00 - temporo-occipital transitional zone",NA
"ENSG00000255359","CCDC179","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","22.84 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.85 - white matter","0.12 - choroid plexus","Not detected","","Not detected","0.85 - cortical white matter","0.12 - choroid plexus","Not detected","","Not detected","0.85 - somatosensory cortex, postcentral gyrus, ventral (white matter)","0.12 - choroid plexus",NA
"ENSG00000185238","PRMT3","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","19.21 - thyroid gland","2.56 - pituitary gland","Low tissue specificity","","Detected in all","16.07 - white matter","7.79 - choroid plexus","Low tissue specificity","","Detected in all","16.07 - cortical white matter","6.79 - cerebellum","Low tissue specificity","","Detected in all","16.07 - corpus callosum, genu (white matter)","5.56 - flocculonodular lobe",NA
"ENSG00000167825","OR5I1","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Not detected","","Not detected","0.02 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.13 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.13 - pons","0.00 - retrosplenial cortex","Not detected","","Not detected","0.13 - pedunculopontine tegmental nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000187612","OR5W2","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Not detected","","Not detected","0.01 - fallopian tube","0.00 - choroid plexus","Not detected","","Not detected","0.02 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.02 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.02 - area postrema","0.00 - angular gyrus (white matter)",NA
"ENSG00000162174","ASRGL1","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;cervix;testis","Detected in all","124.60 - brain","1.84 - ovary","Low tissue specificity","","Detected in all","114.49 - thalamus","25.00 - choroid plexus","Low tissue specificity","","Detected in all","114.49 - dorsal thalamus","25.00 - choroid plexus","Low tissue specificity","","Detected in all","114.49 - posterior thalamic nucleus","25.00 - choroid plexus",NA
"ENSG00000109911","ELP4","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","17.32 - brain","5.29 - pituitary gland","Low tissue specificity","","Detected in all","72.06 - cerebellum","21.20 - choroid plexus","Low tissue specificity","","Detected in all","72.06 - cerebellum","19.43 - mammillary body","Low tissue specificity","","Detected in all","72.06 - cerebellar cortex","16.46 - locus coeruleus",NA
"ENSG00000166016","ABTB2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain","Detected in many","21.92 - brain","0.50 - parathyroid gland","Low tissue specificity","","Detected in all","53.80 - medulla oblongata","4.60 - choroid plexus","Low tissue specificity","","Detected in all","53.80 - medulla oblongata","4.60 - choroid plexus","Low tissue specificity","","Detected in all","53.80 - nucleus raphe obscurus","4.60 - choroid plexus",NA
"ENSG00000172289","OR10V1","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Not detected","","Not detected","0.09 - cervix","0.00 - choroid plexus","Not detected","","Not detected","0.17 - cerebral cortex","0.01 - choroid plexus","Not detected","","Not detected","0.17 - parietal cortex","0.01 - choroid plexus","Not detected","","Not detected","0.17 - parietal operculum","0.00 - angular gyrus (white matter)",NA
"ENSG00000166889","PATL1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","56.07 - bone marrow","8.45 - pituitary gland","Low tissue specificity","","Detected in all","24.90 - white matter","16.30 - hippocampal formation","Low tissue specificity","","Detected in all","24.90 - cortical white matter","14.60 - retrosplenial cortex","Low tissue specificity","","Detected in all","24.90 - corpus callosum, splenium (white matter)","12.99 - precentral gyrus",NA
"ENSG00000134827","TCN1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","bone marrow;gallbladder;salivary gland","Detected in many","753.66 - salivary gland","0.00 - epididymis","Not detected","","Not detected","0.77 - cerebral cortex","0.07 - choroid plexus","Not detected","","Not detected","0.77 - frontal cortex","0.05 - globus pallidus","Not detected","","Not detected","0.77 - precentral gyrus","0.00 - superior vestibular nucleus",NA
"ENSG00000152270","PDE3B","Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","adipose tissue","Detected in many","62.32 - adipose tissue","0.25 - parathyroid gland","Low tissue specificity","","Detected in all","31.87 - cerebellum","2.95 - choroid plexus","Low tissue specificity","","Detected in all","31.87 - cerebellum","2.95 - choroid plexus","Tissue enhanced","cerebellar cortex;flocculonodular lobe","Detected in all","31.87 - flocculonodular lobe","2.95 - choroid plexus",NA
"ENSG00000149516","MS4A3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins","Tissue enriched","bone marrow","Detected in some","415.69 - bone marrow","0.00 - choroid plexus","Not detected","","Not detected","0.07 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.07 - frontal cortex","0.00 - cerebellar white matter","Not detected","","Not detected","0.07 - frontal eye field","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000124942","AHNAK","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","326.02 - skin 1","9.84 - retina","Low tissue specificity","","Detected in all","243.03 - hypothalamus","102.88 - cerebellum","Low tissue specificity","","Detected in all","243.03 - supraoptic hypothalamus","74.20 - cerebellum","Low tissue specificity","","Detected in all","243.03 - supraoptic nucleus","52.36 - postcentral gyrus",NA
"ENSG00000148948","LRRC4C","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Group enriched","brain;retina","Detected in many","20.10 - brain","0.01 - placenta","Low tissue specificity","","Detected in all","48.57 - cerebral cortex","3.16 - choroid plexus","Low tissue specificity","","Detected in all","48.57 - parietal cortex","3.16 - choroid plexus","Low tissue specificity","","Detected in all","48.57 - postcentral gyrus","3.16 - choroid plexus",NA
"ENSG00000167995","BEST1","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Transporters","Tissue enhanced","bone marrow;brain","Detected in many","32.08 - brain","0.32 - parathyroid gland","Low tissue specificity","","Detected in all","69.52 - white matter","7.02 - choroid plexus","Low tissue specificity","","Detected in all","69.52 - cortical white matter","7.02 - choroid plexus","Low tissue specificity","","Detected in all","69.52 - parieto-temporal junction (white matter)","5.96 - vermis",NA
"ENSG00000168515","SCGB1D1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enhanced","cervix","Detected in single","1.22 - cervix","0.00 - choroid plexus","Not detected","","Not detected","0.98 - hypothalamus","0.01 - white matter","Not detected","","Not detected","0.98 - tuberal hypothalamus","0.00 - cerebellar white matter","Not detected","","Not detected","0.98 - ventromedial nucleus","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000011347","SYT7","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;liver;salivary gland","Detected in many","84.66 - liver","0.10 - bone marrow","Low tissue specificity","","Detected in all","285.10 - cerebral cortex","4.54 - choroid plexus","Low tissue specificity","","Detected in all","285.10 - parietal cortex","4.54 - choroid plexus","Low tissue specificity","","Detected in all","285.10 - postcentral gyrus","3.20 - parieto-temporal junction (white matter)",NA
"ENSG00000124900","TRIM51","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.22 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.96 - cerebral cortex","0.06 - choroid plexus","Not detected","","Not detected","0.96 - parietal cortex","0.02 - mammillary body","Not detected","","Not detected","0.96 - parietal operculum","0.00 - median raphe nucleus",NA
"ENSG00000148942","SLC5A12","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters","Tissue enhanced","epididymis;intestine;kidney","Detected in some","165.60 - kidney","0.03 - parathyroid gland","Low tissue specificity","","Detected in all","3.44 - basal ganglia","2.47 - spinal cord","Low tissue specificity","","Detected in all","3.44 - Striatum","2.18 - mammillary body","Low tissue specificity","","Detected in all","3.44 - putamen","2.13 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000149021","SCGB1A1","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enriched","lung","Detected in many","2979.86 - lung","0.00 - choroid plexus","Low tissue specificity","","Detected in some","2.05 - cerebellum","0.09 - choroid plexus","Low tissue specificity","","Detected in some","2.05 - cerebellum","0.09 - choroid plexus","Tissue enhanced","vermis","Detected in some","2.05 - vermis","0.02 - nucleus raphe pallidus",NA
"ENSG00000129173","E2F8","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Transcription factors;Transcription factors predicted","Tissue enhanced","bone marrow;lymphoid tissue;skeletal muscle","Detected in many","14.04 - bone marrow","0.00 - choroid plexus","Low tissue specificity","","Detected in some","1.09 - white matter","0.36 - choroid plexus","Low tissue specificity","","Detected in some","1.09 - cortical white matter","0.36 - choroid plexus","Low tissue specificity","","Detected in some","1.09 - somatosensory cortex, postcentral gyrus, ventral (white matter)","0.36 - choroid plexus",NA
"ENSG00000157570","TSPAN18","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters","Tissue enhanced","heart muscle","Detected in many","80.63 - heart muscle","1.00 - retina","Low tissue specificity","","Detected in all","66.61 - cerebellum","6.39 - white matter","Tissue enhanced","cerebellum","Detected in all","66.61 - cerebellum","3.77 - Striatum","Tissue enhanced","cerebellar cortex;dentate gyrus;flocculonodular lobe;hippocampus;hippocampus, CA1;hippocampus, CA2;vermis","Detected in all","66.61 - flocculonodular lobe","2.02 - nuclei of the trapezoid body",NA
"ENSG00000254772","EEF1G","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","4641.61 - skeletal muscle","403.37 - retina","Low tissue specificity","","Detected in all","453.95 - hypothalamus","287.30 - hippocampal formation","Low tissue specificity","","Detected in all","453.95 - supraoptic hypothalamus","232.72 - frontal cortex","Low tissue specificity","","Detected in all","453.95 - supraoptic nucleus","161.71 - postcentral gyrus",NA
"ENSG00000165973","NELL1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins","Tissue enhanced","brain;kidney","Detected in some","16.11 - kidney","0.00 - bone marrow","Low tissue specificity","","Detected in all","33.32 - cerebral cortex","1.10 - choroid plexus","Low tissue specificity","","Detected in all","33.32 - temporal cortex","1.01 - cerebellar white matter","Low tissue specificity","","Detected in all","33.32 - perirhinal gyrus","1.01 - cerebellar white matter",NA
"ENSG00000148950","IMMP1L","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Low tissue specificity","","Detected in all","48.36 - skeletal muscle","4.92 - gallbladder","Low tissue specificity","","Detected in all","14.63 - cerebellum","6.69 - choroid plexus","Low tissue specificity","","Detected in all","14.63 - cerebellum","6.54 - ventral thalamus","Low tissue specificity","","Detected in all","14.63 - cerebellar cortex","4.52 - paramedian reticular nucleus",NA
"ENSG00000134812","CBLIF","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enriched","stomach 1","Detected in single","1533.74 - stomach 1","0.00 - choroid plexus","Not detected","","Not detected","0.29 - cerebral cortex","0.03 - choroid plexus","Not detected","","Not detected","0.29 - frontal cortex","0.02 - cerebellar nucleus","Not detected","","Not detected","0.29 - precentral gyrus, ventral","0.00 - angular gyrus (white matter)",NA
"ENSG00000205029","OR5D16","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Not detected","","Not detected","0.02 - cervix","0.00 - choroid plexus","Not detected","","Not detected","0.06 - midbrain","0.00 - choroid plexus","Not detected","","Not detected","0.06 - tegmentum","0.00 - cerebellar nucleus","Not detected","","Not detected","0.06 - periaquaductal grey, dorsal","0.00 - angular gyrus (white matter)",NA
"ENSG00000255393","OOSP4B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted secreted proteins","Not detected","","Not detected","0.01 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.03 - hippocampal formation","0.00 - choroid plexus","Not detected","","Not detected","0.03 - hippocampal formation","0.00 - epithalamus","Not detected","","Not detected","0.03 - subiculum","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000124939","SCGB2A1","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014)","Group enriched","cervix;epididymis","Detected in many","1947.54 - cervix","0.00 - tongue","Tissue enhanced","medulla oblongata","Detected in some","7.72 - medulla oblongata","0.03 - cerebellum","Tissue enhanced","medulla oblongata;tegmentum;tuberal hypothalamus","Detected in some","7.72 - medulla oblongata","0.00 - paleocortex","Tissue enhanced","cervical spinal cord, central gray;dorsomedial nucleus;nucleus gracilis;nucleus tractus solitarii;periaquaductal grey, lateral;superior vestibular nucleus;ventromedial nucleus","Detected in some","7.72 - nucleus tractus solitarii","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000176971","FIBIN","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","59.25 - seminal vesicle","0.00 - bone marrow","Low tissue specificity","","Detected in all","16.95 - midbrain","2.97 - choroid plexus","Low tissue specificity","","Detected in all","16.95 - tegmentum","2.97 - choroid plexus","Low tissue specificity","","Detected in all","16.95 - periaquaductal grey, dorsal","2.97 - choroid plexus",NA
"ENSG00000197745","SCGB1D4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Group enriched","cervix;endometrium 1;epididymis;fallopian tube","Detected in some","52.21 - fallopian tube","0.00 - choroid plexus","Not detected","","Not detected","0.13 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.13 - frontal cortex","0.00 - choroid plexus","Not detected","","Not detected","0.13 - precentral gyrus","0.00 - pontine raphe nucleus",NA
"ENSG00000110107","PRPF19","Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","110.56 - brain","28.46 - gallbladder","Low tissue specificity","","Detected in all","147.13 - cerebral cortex","66.39 - choroid plexus","Low tissue specificity","","Detected in all","147.13 - parietal cortex","63.94 - cerebellar white matter","Low tissue specificity","","Detected in all","147.13 - postcentral gyrus","61.41 - centromedial thalamic nucleus",NA
"ENSG00000149507","OOSP2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted secreted proteins","Tissue enriched","testis","Detected in some","17.48 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.17 - white matter","0.00 - choroid plexus","Not detected","","Not detected","0.17 - cortical white matter","0.00 - cerebellar white matter","Not detected","","Not detected","0.17 - parahippocampal cortex (white matter)","0.00 - area striata (white matter)",NA
"ENSG00000242689","CNTF","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","bone marrow;brain","Detected in some","11.11 - brain","0.25 - endometrium 1","Low tissue specificity","","Detected in all","15.94 - white matter","2.16 - hippocampal formation","Low tissue specificity","","Detected in all","15.94 - spinal cord white matter","1.98 - insular cortex","Tissue enhanced","lateral funiculus (white matter)","Detected in all","15.94 - lateral funiculus (white matter)","1.39 - arcuate nucleus",NA
"ENSG00000110484","SCGB2A2","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins","Group enriched","breast;skin 1","Detected in many","2712.31 - breast","0.00 - choroid plexus","Not detected","","Not detected","0.17 - midbrain","0.00 - choroid plexus","Not detected","","Not detected","0.17 - tegmentum","0.00 - paleocortex","Not detected","","Not detected","0.17 - median raphe nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000169519","METTL15","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","10.79 - tongue","2.36 - bone marrow","Low tissue specificity","","Detected in all","17.64 - choroid plexus","13.62 - amygdala","Low tissue specificity","","Detected in all","17.64 - choroid plexus","12.74 - cerebellar nucleus","Low tissue specificity","","Detected in all","17.64 - choroid plexus","9.78 - piriform cortex",NA
"ENSG00000176697","BDNF","Cancer-related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Kim et al 2014);RAS pathway related proteins","Tissue enhanced","brain","Detected in some","5.12 - brain","0.02 - parathyroid gland","Low tissue specificity","","Detected in all","19.12 - hippocampal formation","1.83 - choroid plexus","Low tissue specificity","","Detected in all","19.12 - hippocampal formation","1.83 - choroid plexus","Tissue enhanced","hippocampus, CA1;hippocampus, CA3","Detected in all","19.12 - hippocampus, CA1","1.52 - putamen",NA
"ENSG00000179241","LDLRAD3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Tissue enhanced","brain","Detected in all","28.47 - brain","1.08 - retina","Low tissue specificity","","Detected in all","42.56 - medulla oblongata","8.88 - choroid plexus","Low tissue specificity","","Detected in all","42.56 - medulla oblongata","8.88 - choroid plexus","Low tissue specificity","","Detected in all","42.56 - nucleus gracilis","8.88 - choroid plexus",NA
"ENSG00000166902","MRPL16","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Ribosomal proteins","Low tissue specificity","","Detected in all","99.40 - tongue","19.97 - gallbladder","Low tissue specificity","","Detected in all","29.81 - cerebral cortex","21.76 - medulla oblongata","Low tissue specificity","","Detected in all","29.81 - parietal cortex","19.09 - claustrum","Low tissue specificity","","Detected in all","29.81 - postcentral gyrus","14.94 - paraventricular nucleus",NA
"ENSG00000279395","OR5L1","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Not detected","","Not detected","0.01 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.03 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.03 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.03 - pontine raphe nucleus","0.00 - paraventricular nucleus",NA
"ENSG00000110104","CCDC86","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","parathyroid gland","Detected in all","365.33 - parathyroid gland","3.49 - epididymis","Low tissue specificity","","Detected in all","16.43 - pons","10.92 - choroid plexus","Low tissue specificity","","Detected in all","16.43 - pons","5.51 - cerebellum","Low tissue specificity","","Detected in all","16.43 - locus coeruleus","5.03 - flocculonodular lobe",NA
"ENSG00000148943","LIN7C","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","23.39 - liver","3.51 - choroid plexus","Low tissue specificity","","Detected in all","74.28 - cerebellum","28.27 - medulla oblongata","Low tissue specificity","","Detected in all","74.28 - cerebellum","25.97 - ventral thalamus","Low tissue specificity","","Detected in all","74.28 - cerebellar cortex","19.60 - precentral gyrus",NA
"ENSG00000132749","TESMIN","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in many","51.03 - testis","0.08 - skeletal muscle","Low tissue specificity","","Detected in all","4.11 - pons","2.08 - hippocampal formation","Low tissue specificity","","Detected in all","4.11 - pons","1.32 - retrosplenial cortex","Low tissue specificity","","Detected in all","4.11 - nuclei of the trapezoid body","1.32 - retrosplenial cortex",NA
"ENSG00000173227","SYT12","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","brain;liver;parathyroid gland","Detected in many","61.84 - parathyroid gland","0.01 - bone marrow","Low tissue specificity","","Detected in all","45.58 - cerebellum","1.89 - choroid plexus","Low tissue specificity","","Detected in all","45.58 - cerebellum","1.89 - choroid plexus","Low tissue specificity","","Detected in all","45.58 - flocculonodular lobe","1.89 - choroid plexus",NA
"ENSG00000169550","MUC15","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins","Tissue enriched","epididymis","Detected in many","1903.76 - epididymis","0.01 - retina","Tissue enhanced","basal ganglia","Detected in many","10.90 - basal ganglia","0.33 - cerebellum","Tissue enhanced","Striatum","Detected in many","10.90 - Striatum","0.18 - spinal cord white matter","Tissue enhanced","caudate nucleus;nucleus accumbens;nucleus basalis of Meynert;putamen","Detected in many","10.90 - putamen","0.14 - dorsal funiculus (white matter)",NA
"ENSG00000021300","PLEKHB1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;retina","Detected in many","2660.82 - brain","0.92 - placenta","Low tissue specificity","","Detected in all","1922.27 - white matter","288.18 - choroid plexus","Low tissue specificity","","Detected in all","1922.27 - cerebellar white matter","288.18 - choroid plexus","Low tissue specificity","","Detected in all","1922.27 - cerebellar white matter","248.23 - vermis",NA
